id_persona_cargo,n_titulares,id_afiliado_titular,estado_relacion
10002362,1,800204,Titular único
10002363,3,,Múltiples titulares
10002365,1,801795,Titular único
10002378,1,804712,Titular único
10002385,1,59345,Titular único
10002394,1,530292,Titular único
10002397,1,520716,Titular único
10002400,2,,Múltiples titulares
10002401,1,526234,Titular único
10002404,1,793464,Titular único
10002411,1,795221,Titular único
10002415,2,,Múltiples titulares
10002416,1,111870,Titular único
10002417,2,,Múltiples titulares
10002418,1,519150,Titular único
10002423,2,,Múltiples titulares
10002485,1,805136,Titular único
10002487,1,795836,Titular único
10002488,1,194459,Titular único
10002494,1,525335,Titular único
10002498,1,527496,Titular único
10002511,1,797519,Titular único
10002513,1,166496,Titular único
10002515,1,114113,Titular único
10002516,1,517755,Titular único
10002520,2,,Múltiples titulares
10002522,2,,Múltiples titulares
10002523,1,527084,Titular único
10002524,1,517525,Titular único
10002530,1,798043,Titular único
10002531,1,795581,Titular único
10002533,1,57846,Titular único
10002536,1,523964,Titular único
10002537,1,523764,Titular único
10002538,1,799113,Titular único
10002539,1,398021,Titular único
10002542,1,59717,Titular único
10002544,1,519344,Titular único
10002547,1,522948,Titular único
10002549,1,797705,Titular único
10002552,5,,Múltiples titulares
10002554,1,802786,Titular único
10002556,3,,Múltiples titulares
10002557,2,,Múltiples titulares
10002559,1,522152,Titular único
10002560,1,113651,Titular único
10002561,1,521104,Titular único
10002562,1,522201,Titular único
10002564,2,,Múltiples titulares
10002565,1,10135775,Titular único
10002567,1,522627,Titular único
10002568,1,519540,Titular único
10002569,2,,Múltiples titulares
10002571,1,527100,Titular único
10002572,2,,Múltiples titulares
10002575,1,30788,Titular único
10002576,2,,Múltiples titulares
10002577,1,797661,Titular único
10002580,1,796083,Titular único
10002581,1,521688,Titular único
10002644,1,520343,Titular único
10002684,1,523556,Titular único
10002686,1,108833,Titular único
10002695,1,796117,Titular único
10002696,1,524995,Titular único
10002697,1,267750,Titular único
10002699,1,792341,Titular único
10002703,1,525569,Titular único
10002704,1,519833,Titular único
10002705,2,,Múltiples titulares
10002706,1,517853,Titular único
10002707,1,794251,Titular único
10002709,1,797540,Titular único
10002710,2,,Múltiples titulares
10002713,1,528410,Titular único
10002714,3,,Múltiples titulares
10002715,1,798575,Titular único
10002716,1,796146,Titular único
10002717,2,,Múltiples titulares
10002719,2,,Múltiples titulares
10002720,1,800189,Titular único
10002721,1,522128,Titular único
10002722,1,58859,Titular único
10002723,1,742700,Titular único
10002724,3,,Múltiples titulares
10002726,3,,Múltiples titulares
10002727,3,,Múltiples titulares
10002729,2,,Múltiples titulares
10002731,1,240411,Titular único
10002732,1,521823,Titular único
10002734,1,796838,Titular único
10002735,1,161130,Titular único
10002736,2,,Múltiples titulares
10002737,1,524941,Titular único
10002738,2,,Múltiples titulares
10002739,2,,Múltiples titulares
10002740,1,799886,Titular único
10002741,1,795684,Titular único
10002743,1,802259,Titular único
10002744,1,801874,Titular único
10002745,3,,Múltiples titulares
10002747,3,,Múltiples titulares
10002834,2,,Múltiples titulares
10002835,1,395312,Titular único
10002840,1,518330,Titular único
10002842,1,518580,Titular único
10002843,3,,Múltiples titulares
10002844,3,,Múltiples titulares
10002846,2,,Múltiples titulares
10002847,1,355224,Titular único
10002848,1,521576,Titular único
10002851,1,799944,Titular único
10002852,3,,Múltiples titulares
10002853,2,,Múltiples titulares
10002854,1,528871,Titular único
10002855,1,792633,Titular único
10002856,2,,Múltiples titulares
10002858,2,,Múltiples titulares
10002859,1,797884,Titular único
10002860,2,,Múltiples titulares
10002861,2,,Múltiples titulares
10002862,2,,Múltiples titulares
10002863,3,,Múltiples titulares
10002865,1,522299,Titular único
10002866,3,,Múltiples titulares
10002867,2,,Múltiples titulares
10002868,3,,Múltiples titulares
10002870,1,793846,Titular único
10002871,1,524216,Titular único
10002873,2,,Múltiples titulares
10002874,2,,Múltiples titulares
10002875,2,,Múltiples titulares
10002876,1,794545,Titular único
10002877,2,,Múltiples titulares
10002880,2,,Múltiples titulares
10002881,1,531602,Titular único
10002882,1,800191,Titular único
10002883,2,,Múltiples titulares
10002884,2,,Múltiples titulares
10002886,1,355175,Titular único
10002888,1,210875,Titular único
10002891,2,,Múltiples titulares
10003197,1,790557,Titular único
10003198,2,,Múltiples titulares
10003208,3,,Múltiples titulares
10003210,1,795531,Titular único
10003227,1,798469,Titular único
10003228,1,791251,Titular único
10003234,1,931516,Titular único
10003239,1,800151,Titular único
10003240,1,194561,Titular único
10003242,1,840711,Titular único
10003246,1,791354,Titular único
10003248,1,523245,Titular único
10003252,1,517486,Titular único
10003254,1,206599,Titular único
10003257,1,801381,Titular único
10003258,2,,Múltiples titulares
10003260,1,397641,Titular único
10003267,2,,Múltiples titulares
10003268,1,529816,Titular único
10003271,1,930624,Titular único
10003272,2,,Múltiples titulares
10003278,1,525303,Titular único
10003279,1,524859,Titular único
10003280,1,787342,Titular único
10003281,1,551528,Titular único
10003283,1,206862,Titular único
10003286,2,,Múltiples titulares
10003295,1,527640,Titular único
10003298,1,136180,Titular único
10003299,1,933918,Titular único
10003302,1,523234,Titular único
10003304,1,529818,Titular único
10003307,2,,Múltiples titulares
10003308,1,397553,Titular único
10003309,1,59916,Titular único
10003326,1,395302,Titular único
10003345,1,793208,Titular único
10003346,2,,Múltiples titulares
10003348,1,796029,Titular único
10003352,1,10323766,Titular único
10003353,2,,Múltiples titulares
10003357,1,796883,Titular único
10003360,1,804703,Titular único
10003362,1,797989,Titular único
